"study_power","pwr80_needed_n","effect_size","study"
0.0511670910330429,38938.7849161312,0.01,"wang"
0.0794926949401393,1564.83153177174,0.05,"wang"
0.171750752568034,391.130728330207,0.1,"wang"
0.328590450640292,172.623221122761,0.15,"wang"
0.529949120617828,95.72887442563,0.2,"wang"
0.729840266924546,59.9161748739881,0.25,"wang"
0.880244642917351,40.3071608217218,0.3,"wang"
0.0501267815883436,36105.6714068552,0.01,"weir"
0.0532653552647496,1404.50923407025,0.05,"weir"
0.0637328262308661,335.969590196551,0.1,"weir"
0.0830339732208921,141.051729219945,0.15,"weir"
0.114091557003687,73.6526268241814,0.2,"weir"
0.162379669952868,42.6189032933274,0.25,"weir"
0.240045545841488,25.5042509315394,0.3,"weir"
0.052385994702795,32978.1017544813,0.01,"ahn"
0.109257678547054,1364.97410335581,0.05,"ahn"
0.286015914043068,353.112972179838,0.1,"ahn"
0.541314331584847,161.066063185299,0.15,"ahn"
0.778208257261682,92.2958716353823,0.2,"ahn"
0.923353393921493,59.7577768519446,0.25,"ahn"
0.981956260084189,41.6960888061314,0.3,"ahn"
0.0514557737736036,34452.1756547856,0.01,"zeller"
0.0860296760330599,1417.79915895347,0.05,"zeller"
0.194815451081428,364.443947995787,0.1,"zeller"
0.369712599073125,165.274107157503,0.15,"zeller"
0.577353937966543,94.1928066000126,0.2,"zeller"
0.765893104090321,60.6637107395929,0.25,"zeller"
0.896776785405405,42.1028931645878,0.3,"zeller"
0.0555562781395069,29422.5982354146,0.01,"baxter"
0.188817686141576,1234.94581740766,0.05,"baxter"
0.553467369415493,324.290736111376,0.1,"baxter"
0.868806196732827,149.870658771438,0.15,"baxter"
0.98149123330453,86.9103815615185,0.2,"baxter"
0.998815571413543,56.9059564253241,0.25,"baxter"
0.999967332980999,40.1426129966208,0.3,"baxter"
0.0567920190701642,4409.86473346053,0.01,"hale"
0.164117269031789,273.642964422201,0.05,"hale"
0.383084435763128,94.2556868449525,0.1,"hale"
0.608648402799078,52.0993419090933,0.15,"hale"
0.784247057794226,34.5212115802463,0.2,"hale"
0.89580245153816,25.1483778954988,0.25,"hale"
0.95572575008794,19.4079241255156,0.3,"hale"
0.0509184246156682,38959.4257275071,0.01,"flemer"
0.0734694280192165,1543.87315014859,0.05,"flemer"
0.148384993638147,378.988290714652,0.1,"flemer"
0.281204825511722,164.060098544399,0.15,"flemer"
0.465227570052472,89.034489694129,0.2,"flemer"
0.669019460648199,54.3282188363189,0.25,"flemer"
0.8436612669982,35.4018638582832,0.3,"flemer"
0.050183325370874,39239.0695541293,0.01,"geng"
0.0546101253908211,1564.52900856952,0.05,"geng"
0.0687774594687921,387.167746154315,0.1,"geng"
0.0935097026062331,169.087942473337,0.15,"geng"
0.130476673314842,92.6960802372139,0.2,"geng"
0.182001195846418,57.2584202864442,0.25,"geng"
0.251069018586471,37.9086228302952,0.3,"geng"
0.0508126689477662,39099.703647553,0.01,"sana"
0.0704934000190997,1567.80694525537,0.05,"sana"
0.134393289179811,390.785459615935,0.1,"sana"
0.245637682089328,171.974871803838,0.15,"sana"
0.400532174643278,95.0745273494947,0.2,"sana"
0.580179726573843,59.3002115196009,0.25,"sana"
0.752297028510471,39.7292838859239,0.3,"sana"
0.0503203864988056,39094.8923361709,0.01,"burns"
0.0580260738131968,1567.74068615145,0.05,"burns"
0.0826136819281449,390.808649942035,0.1,"burns"
0.125385353054146,172.003270699454,0.15,"burns"
0.188540054329685,95.1011103986768,0.2,"burns"
0.273886680779908,59.3244680955117,0.25,"burns"
0.381625212335828,39.7516642743132,0.3,"burns"
